39.8	12.7	28.8	2.7	    180.1	44.9	43.7	2.2	    4.6	    3.4
41.9	12.4	25.5	-0.2	182.8	45.6	40.6	2.7	    6.6	    7.7
45	    16.9	29.3	1.9	    182.6	50.1	49.1	2.9	    6.1	    3.9
49.2	18.4	34.1	5.2	    184.5	57.2	55.4	2.9	    5.7	    4.7
50.6	19.4	33.9	3	    189.7	57.1	56.4	3.1	    6.6	    3.8
52.6	20.1	35.4	5.1	    192.7	61	    58.7	3.2	    6.5	    5.5
55.1	19.6	37.4	5.6	    197.8	64	    60.3	3.3	    6.6	    7
56.2	19.8	37.9	4.2	    203.4	64.4	61.3	3.6	    7.6	    6.7
57.3	21.1	39.2	3	    207.6	64.5	64	    3.7	    7.9	    4.2
57.8	21.7	41.3	5.1	    210.6	67	    67	    4	    8.1	    4
55	    15.6	37.9	1	    215.7	61.2	57.7	4.2	    9.4	    7.7
50.9	11.4	34.5	-3.4	216.7	53.4	50.7	4.8	    10.7	7.5
45.6	7	    29	    -6.2	213.3	44.3	41.3	5.3	    10.2	8.3
46.5	11.2	28.5	-5.1	207.1	45.1	45.3	5.6	    9.3	    5.4
48.7	12.3	30.6	-3	    202	    49.7	48.9	6	    10	    6.8
51.3	14	    33.2	-1.3	199	    54.4	53.3	6.1	    10.5	7.2
57.7	17.6	36.8	2.1	    197.7	62.7	61.8	7.4	    10.3	8.3
58.7	17.3	41	    2	    199.8	65	    65	    6.7	    11	    6.7
57.5	15.3	38.2	-1.9	201.8	60.9	61.2	7.7	    13	    7.4
61.6	19	    41.6	1.3	    199.9	69.5	68.4	7.8	    14.4	8.9
65	    21.1	45	    3.3	    201.2	75.7	74.1	8	    15.4	9.6
69.7	23.5	53.3	4.9	    204.5	88.4	85.3	8.5	    22.3	11.6
