
  1.000 -0.336 -0.088 -0.579 -0.221 -0.222 -0.046 -0.354 -0.028 
  2.000 -0.192 -0.359 -0.475 -0.058  0.072 -0.039 -0.346 -0.032 
  3.000  0.062  0.062  0.063  0.192  0.145 -0.256 -0.337  0.272 
  4.000  0.128  0.221  0.234 -0.004 -0.104 -0.030  0.149  0.042 
  5.000  0.358  0.199  0.388  0.255  0.035 -0.081  0.311 -0.080 
  6.000  0.342  0.054  0.377  0.430 -0.005  0.047  0.403 -0.016 
  7.000  0.608  0.051  0.262  0.160  0.367 -0.294  0.100 -0.078 
  8.000  0.398 -0.113  0.119  0.114  0.312  0.052  0.017 -0.000 
  9.000  0.382  0.139  0.255  0.251  0.368  0.022  0.074  0.264 
 10.000  0.328  0.182  0.091  0.052  0.459  0.405  0.068  0.128 
 11.000  0.385  0.204  0.207  0.108  0.440  0.217 -0.054  0.193 
 12.000  0.273  0.512  0.308  0.077  0.453  0.037 -0.151 -0.150 
 13.000  0.417  0.102  0.434 -0.066  0.306 -0.106  0.101  0.355 
 14.000  0.264  0.253  0.567  0.024 -0.024  0.078 -0.031  0.061 
 15.000  0.404  0.334  0.312  0.140  0.149  0.166  0.010  0.044 
 16.000  0.447  0.395  0.242  0.005  0.036 -0.044  0.101  0.279 
 17.000  0.286  0.091  0.330  0.120  0.062 -0.250  0.038 -0.008 
 18.000  0.250  0.327  0.248  0.194  0.087 -0.130  0.052 -0.046 
 19.000  0.106  0.167  0.010 -0.210 -0.163 -0.214  0.021  0.058 
 20.000 -0.112 -0.169 -0.171  0.159 -0.355  0.206 -0.088 -0.227 
 21.000 -0.318 -0.117 -0.173 -0.232 -0.284 -0.018  0.007 -0.114 
 22.000 -0.286 -0.127 -0.304 -0.088 -0.269 -0.016 -0.204 -0.099 
 23.000 -0.284 -0.091 -0.035  0.030 -0.394  0.132 -0.108 -0.040 
 24.000 -0.420 -0.361 -0.411  0.056 -0.405  0.030 -0.166 -0.114 
 25.000 -0.317 -0.152 -0.302 -0.040 -0.033  0.131 -0.111  0.052 
 26.000 -0.531 -0.397 -0.115 -0.090  0.102  0.304 -0.111 -0.234 
 27.000 -0.497 -0.264 -0.240 -0.018  0.072  0.162 -0.004  0.082 
 28.000 -0.291 -0.097 -0.267 -0.324 -0.057 -0.120 -0.026 -0.124 
 29.000 -0.355 -0.394 -0.313  0.002 -0.233  0.117 -0.057  0.036 
 30.000 -0.283 -0.444 -0.201 -0.462 -0.136 -0.109 -0.129 -0.177 
 31.000 -0.304 -0.164 -0.304 -0.216 -0.231 -0.189 -0.149 -0.183 
 32.000 -0.353 -0.198 -0.233 -0.216 -0.262 -0.032 -0.062 -0.222 
 33.000 -0.316 -0.052 -0.196  0.018 -0.294  0.034 -0.105  0.048 
 34.000 -0.347 -0.250 -0.184 -0.167 -0.099 -0.208 -0.056 -0.023 
 35.000  0.165 -0.072  0.118  0.186 -0.061  0.009  0.048  0.033 
 36.000  0.174  0.115  0.384  0.053 -0.071 -0.056  0.353  0.347 
 37.000  0.417  0.273  0.203  0.001  0.296 -0.019  0.561  0.099 
 38.000  0.340  0.037  0.459  0.229  0.007 -0.045  0.217  0.044 
 39.000  0.366  0.037  0.169  0.261  0.308 -0.140  0.149  0.365 
 40.000  0.427  0.086  0.202  0.398  0.062  0.017 -0.057 -0.150 
 41.000  0.258  0.454  0.127  0.091  0.256 -0.095  0.035  0.123 
 42.000  0.496  0.045  0.335  0.459  0.315  0.013  0.006  0.203 
 43.000  0.383  0.315  0.350  0.178  0.262 -0.167 -0.089  0.077 
 44.000  0.175  0.317  0.011  0.053  0.303 -0.090  0.059  0.284 
 45.000  0.237  0.348  0.286  0.067  0.190  0.198  0.019  0.299 
 46.000  0.383  0.226  0.172  0.138  0.241 -0.046  0.095  0.163 
 47.000  0.354  0.234  0.044  0.047  0.094  0.057  0.114 -0.004 
 48.000  0.325  0.316  0.369  0.103  0.250  0.105  0.054  0.364 
 49.000  0.300  0.204  0.161 -0.016 -0.035  0.042  0.273  0.199 
 50.000  0.148  0.178  0.182 -0.294 -0.025  0.216  0.189  0.052 
 51.000  0.005  0.003  0.070  0.113 -0.062  0.100  0.167 -0.080 
 52.000 -0.175 -0.063 -0.080 -0.155 -0.078  0.026 -0.155 -0.093 
 53.000 -0.330 -0.171 -0.110 -0.050 -0.149 -0.099 -0.102 -0.393 
 54.000 -0.370 -0.043 -0.258 -0.329 -0.067 -0.441 -0.001 -0.149 
 55.000 -0.324  0.093 -0.223 -0.387 -0.173 -0.052 -0.214 -0.289 
 56.000 -0.312 -0.363 -0.238  0.029 -0.304  0.191 -0.009 -0.200 
 57.000 -0.475 -0.118 -0.177 -0.219 -0.438  0.102 -0.035 -0.294 
 58.000 -0.537 -0.322 -0.084 -0.493 -0.229  0.142  0.019 -0.053 
 59.000 -0.574 -0.125 -0.097  0.016  0.046 -0.044 -0.150 -0.332 
 60.000 -0.668 -0.080 -0.242 -0.123 -0.182 -0.172 -0.135 -0.366 
 61.000 -0.226 -0.232 -0.276 -0.114 -0.103 -0.088 -0.360 -0.567 
 62.000 -0.403 -0.227 -0.405 -0.104 -0.194 -0.002 -0.345 -0.261 
 63.000 -0.269 -0.139 -0.107  0.110 -0.048  0.080 -0.031 -0.362 
 64.000 -0.256 -0.152 -0.251 -0.206 -0.226  0.202 -0.224 -0.110 
 65.000 -0.240 -0.121 -0.454  0.154  0.122 -0.113 -0.150 -0.018 
 66.000 -0.113 -0.190 -0.356  0.130 -0.021  0.027 -0.063  0.113 
 67.000  0.248 -0.193 -0.036 -0.068  0.045  0.090  0.357  0.102 
 68.000  0.248  0.010  0.208  0.156 -0.148  0.023  0.428  0.209 
 69.000  0.462  0.032  0.152 -0.024  0.249  0.263  0.431  0.246 
 70.000  0.422  0.103  0.405  0.229  0.123  0.116  0.407  0.421 
 71.000  0.479 -0.029  0.232  0.148  0.052  0.212  0.184  0.231 
 72.000  0.469  0.246  0.166  0.080  0.242  0.184  0.099  0.076 
 73.000  0.328  0.319  0.178  0.079  0.391 -0.045 -0.119  0.310 
 74.000  0.285  0.191  0.039  0.093  0.228 -0.283 -0.176  0.272 
 75.000  0.360  0.357  0.173  0.135  0.159 -0.084 -0.250  0.120 
 76.000  0.306 -0.002  0.267  0.066  0.396 -0.240 -0.192  0.261 
 77.000  0.322  0.264  0.138  0.056  0.290 -0.204  0.056  0.244 
 78.000  0.303  0.265  0.178 -0.076  0.294 -0.166 -0.095  0.127 
 79.000  0.285  0.484  0.334  0.173  0.120  0.029 -0.135  0.297 
 80.000  0.380  0.426  0.152  0.324  0.140  0.119  0.201  0.574 
 81.000  0.357  0.490  0.356  0.018  0.018  0.025  0.126  0.268 
 82.000  0.147  0.210  0.285  0.021 -0.014 -0.087  0.024  0.155 
 83.000 -0.068 -0.107 -0.025 -0.258 -0.043 -0.236 -0.173 -0.270 
 84.000 -0.233 -0.124 -0.028  0.202 -0.208 -0.200  0.077 -0.148 
 85.000 -0.336 -0.071 -0.036  0.097 -0.197  0.173 -0.158 -0.370 
 86.000 -0.464 -0.225 -0.018 -0.345 -0.165 -0.182 -0.007 -0.454 
 87.000 -0.436 -0.441  0.021  0.000 -0.373 -0.009  0.018 -0.183 
 88.000 -0.453 -0.304  0.009  0.075 -0.128  0.074  0.167 -0.230 
 89.000 -0.623 -0.315 -0.175  0.008 -0.161  0.376 -0.116 -0.359 
 90.000 -0.558 -0.148 -0.324 -0.079 -0.289  0.209 -0.198 -0.214 
 91.000 -0.438  0.115 -0.305 -0.069 -0.315  0.417  0.021 -0.528 
 92.000 -0.358 -0.483 -0.521 -0.393 -0.326 -0.022 -0.163 -0.319 
 93.000 -0.397 -0.278 -0.233 -0.124 -0.110  0.030 -0.132 -0.258 
 94.000 -0.562 -0.211 -0.110 -0.234 -0.095  0.260 -0.080 -0.219 
 95.000 -0.374 -0.121 -0.351 -0.144 -0.113 -0.094 -0.030 -0.024 
